game_id,game_date,away,home,home_win_probability,component_standard_deviation,component_minimum,component_5_percent,component_median,component_95_percent,component_maximum
0022501003,2026-04-01,NYK,MEM,0.1559458400,0.0376502336,0.1068138319,0.1116090997,0.1469233949,0.2291914782,0.2494207337
0022501105,2026-04-01,PHI,WAS,0.1617489942,0.0374113771,0.1154321158,0.1215969106,0.1506404625,0.2382023140,0.2419789500
0022501106,2026-04-01,BOS,MIA,0.3474210929,0.0269204079,0.3058145172,0.3113820917,0.3414577253,0.3982210022,0.4070270648
0022501107,2026-04-01,ATL,ORL,0.4232041637,0.0446950430,0.3535146301,0.3599925651,0.4187200518,0.4941835135,0.5061875082
0022501108,2026-04-01,SAC,TOR,0.9105886278,0.0268550594,0.8514874476,0.8548451062,0.9183614366,0.9393542381,0.9425517085
0022501109,2026-04-01,IND,CHI,0.6979822257,0.0251111233,0.6395269491,0.6557966464,0.6985882143,0.7352534122,0.7440135093
0022501110,2026-04-01,MIL,HOU,0.8717588635,0.0321601078,0.7878318063,0.8152894703,0.8784834367,0.9119775782,0.9174786295
0022501112,2026-04-01,DEN,UTA,0.1254852442,0.0383512546,0.0739458443,0.0794346682,0.1162764805,0.1967959286,0.2275205338
0022501113,2026-04-01,SAS,GSW,0.1658792874,0.0386758338,0.1103177676,0.1149279325,0.1586364577,0.2355770334,0.2631426963
0022501114,2026-04-02,PHX,CHA,0.6628480076,0.0186847458,0.6215163448,0.6341458107,0.6613995607,0.6918282487,0.6975607114
0022501115,2026-04-02,MIN,DET,0.7257928365,0.0235579048,0.6704747356,0.6833731691,0.7299524691,0.7551649674,0.7599029577
0022501116,2026-04-02,LAL,OKC,0.7745806138,0.0339148543,0.6998703824,0.7167208764,0.7774401165,0.8256178160,0.8396808787
0022501117,2026-04-02,CLE,GSW,0.3441084665,0.0314173104,0.2958621337,0.3034609743,0.3394370721,0.3976935832,0.4226071606
0022501118,2026-04-02,NOP,POR,0.7665935199,0.0356653103,0.6907374768,0.7111417625,0.7621056981,0.8284939992,0.8362157636
0022501119,2026-04-02,SAS,LAC,0.2404926357,0.0339393776,0.1998247886,0.2042396060,0.2286359228,0.3109058836,0.3149276197
0022501120,2026-04-03,IND,CHA,0.9214088547,0.0255373723,0.8606519127,0.8704411391,0.9287758357,0.9485805768,0.9518397337
0022501121,2026-04-03,MIN,PHI,0.4008584097,0.0211070781,0.3718554083,0.3728931347,0.3983229944,0.4402085878,0.4440494668
0022501122,2026-04-03,ATL,BKN,0.1203202582,0.0365296334,0.0730630659,0.0778097084,0.1111300836,0.1855265964,0.2185195076
0022501123,2026-04-03,CHI,NYK,0.8745782456,0.0298196467,0.8047684527,0.8161427979,0.8823492964,0.9097405828,0.9122834962
0022501124,2026-04-03,UTA,HOU,0.9051004350,0.0290639824,0.8304967241,0.8482265291,0.9136620583,0.9388920607,0.9443054209
0022501125,2026-04-03,TOR,MEM,0.2244747801,0.0398299655,0.1604816868,0.1687425390,0.2198240728,0.2933538679,0.3206364357
0022501126,2026-04-03,BOS,MIL,0.1357101539,0.0382563554,0.0869353235,0.0928064043,0.1259945092,0.2091528215,0.2327099248
0022501127,2026-04-03,ORL,DAL,0.2713833291,0.0323903897,0.2328503126,0.2357632729,0.2626299252,0.3339041104,0.3498975641
0022501128,2026-04-03,NOP,SAC,0.3396808867,0.0302484745,0.2909565749,0.2978024237,0.3354261292,0.3912839999,0.4079175997
0022501129,2026-04-04,WAS,MIA,0.9093452968,0.0278717424,0.8429871039,0.8515793631,0.9164796157,0.9397671690,0.9418420677
0022501130,2026-04-04,SAS,DEN,0.3501874633,0.0232145688,0.3212036196,0.3247841544,0.3437188465,0.3975217988,0.4032843183
0022501131,2026-04-04,DET,PHI,0.2413360121,0.0371012093,0.1910646571,0.1974919221,0.2330327090,0.3104038778,0.3272100940
0022501132,2026-04-05,TOR,BOS,0.7033275938,0.0240718909,0.6479559858,0.6606485925,0.7055064448,0.7384541627,0.7407981881
0022501133,2026-04-05,WAS,BKN,0.5967077105,0.0101770086,0.5773539586,0.5793297937,0.5967011599,0.6118814946,0.6189158715
0022501134,2026-04-05,PHX,CHI,0.2722214433,0.0370736227,0.2112623802,0.2198080384,0.2675365928,0.3363340816,0.3604564745
0022501135,2026-04-05,MEM,MIL,0.5578513964,0.0107189674,0.5413310300,0.5447137702,0.5547296771,0.5789712227,0.5794814626
0022501136,2026-04-05,IND,CLE,0.9104761905,0.0274303424,0.8412661155,0.8539759062,0.9181912098,0.9397431988,0.9420821728
0022501137,2026-04-05,CHA,MIN,0.5047200213,0.0181048910,0.4767706925,0.4812091067,0.5033942800,0.5390099829,0.5436921693
0022501138,2026-04-05,ORL,NOP,0.3613193590,0.0282748437,0.3055794920,0.3180247367,0.3573344790,0.4156331120,0.4193352204
0022501139,2026-04-05,UTA,OKC,0.9623833541,0.0185728869,0.9141952374,0.9242359543,0.9682037901,0.9805776017,0.9818829002
0022501140,2026-04-05,LAL,DAL,0.1545983590,0.0374341576,0.1021196071,0.1058227513,0.1477781576,0.2243245133,0.2493820647
0022501141,2026-04-05,LAC,SAC,0.1504376541,0.0392653760,0.0999178338,0.1035174002,0.1394792698,0.2200522919,0.2517911243
0022501142,2026-04-05,HOU,GSW,0.3408392597,0.0360824044,0.2739809020,0.2857929968,0.3398325872,0.4012561933,0.4232724605
0022501143,2026-04-06,NYK,ATL,0.4621954446,0.0397100036,0.3829563206,0.3940346507,0.4680513970,0.5163835878,0.5258629014
0022501144,2026-04-06,DET,ORL,0.2406261220,0.0391397074,0.1783966543,0.1872814619,0.2337869177,0.3089525672,0.3362176051
0022501145,2026-04-06,CLE,MEM,0.1867506518,0.0398430262,0.1325942918,0.1379695550,0.1795358507,0.2535904875,0.2908713328
0022501146,2026-04-06,PHI,SAS,0.8673654131,0.0287254711,0.8005287090,0.8120228323,0.8744265686,0.9013526434,0.9054236669
0022501147,2026-04-06,POR,DEN,0.7060921753,0.0271296970,0.6466404936,0.6641159573,0.7070577316,0.7476898180,0.7614593389
0022501148,2026-04-07,CHI,WAS,0.3041816962,0.0316521728,0.2620823479,0.2675091021,0.2955850259,0.3665503208,0.3698120856
0022501149,2026-04-07,CHA,BOS,0.6176849275,0.0206142767,0.5839548035,0.5912293300,0.6124601096,0.6581084703,0.6722105422
0022501150,2026-04-07,MIL,BKN,0.3830916698,0.0262514344,0.3370968871,0.3402654506,0.3807353426,0.4289691111,0.4398192638
0022501151,2026-04-07,MIA,TOR,0.6075201185,0.0173836438,0.5843178471,0.5883767132,0.5995775851,0.6432483798,0.6442389640
0022501152,2026-04-07,MIN,IND,0.1387811758,0.0369208234,0.0959224308,0.0981036710,0.1292469474,0.2118733551,0.2245544759
0022501153,2026-04-07,UTA,NOP,0.6890375110,0.0238496737,0.6306601896,0.6486051785,0.6924537260,0.7222604229,0.7269614845
0022501154,2026-04-07,SAC,GSW,0.8465477261,0.0317489212,0.7743494508,0.7848841404,0.8535311665,0.8861615312,0.8932919119
0022501155,2026-04-07,OKC,LAL,0.3119512989,0.0395799825,0.2324243341,0.2508346028,0.3108079576,0.3776277633,0.3965751962
0022501156,2026-04-07,DAL,LAC,0.8481840299,0.0308816379,0.7700932276,0.7958393489,0.8524427758,0.8873188071,0.8916825555
0022501157,2026-04-07,HOU,PHX,0.4754897416,0.0124402238,0.4486155970,0.4572374992,0.4744386405,0.4976306261,0.4993535836
0022501158,2026-04-08,ATL,CLE,0.5927658764,0.0276343394,0.5535049651,0.5575565731,0.5899748136,0.6414714308,0.6494491352
0022501159,2026-04-08,MIN,ORL,0.3997109141,0.0263310994,0.3436788745,0.3543983236,0.3994030115,0.4429105328,0.4541024482
0022501160,2026-04-08,MIL,DET,0.9286519068,0.0259346248,0.8571685368,0.8801126586,0.9365866671,0.9578874932,0.9600031473
0022501161,2026-04-08,POR,SAS,0.8462366524,0.0306226669,0.7702221365,0.7878733392,0.8536210584,0.8830555059,0.8870066989
0022501162,2026-04-08,MEM,DEN,0.8859744820,0.0321998972,0.7987702421,0.8301507772,0.8914658975,0.9277344391,0.9329263638
0022501163,2026-04-08,OKC,LAC,0.2283853794,0.0399307481,0.1607702311,0.1771156475,0.2195527322,0.3079001407,0.3137677972
0022501164,2026-04-08,DAL,PHX,0.8586334782,0.0289927812,0.7924059648,0.7996300952,0.8651833961,0.8963658996,0.9017549600
0022501165,2026-04-09,MIA,TOR,0.6075201185,0.0173836438,0.5843178471,0.5883767132,0.5995775851,0.6432483798,0.6442389640
0022501166,2026-04-09,CHI,WAS,0.3041816962,0.0316521728,0.2620823479,0.2675091021,0.2955850259,0.3665503208,0.3698120856
0022501167,2026-04-09,IND,BKN,0.4883974968,0.0132970672,0.4627309004,0.4670945604,0.4896222930,0.5066543053,0.5117598072
0022501168,2026-04-09,BOS,NYK,0.5105743906,0.0092780797,0.4903800514,0.4929650984,0.5114565406,0.5241633630,0.5294313056
0022501169,2026-04-09,PHI,HOU,0.7150299294,0.0240920537,0.6613370248,0.6721149170,0.7184601720,0.7490270126,0.7564316206
0022501170,2026-04-09,LAL,GSW,0.3351474467,0.0447041332,0.2674681406,0.2727888589,0.3355668268,0.4022612634,0.4342344472
0022501171,2026-04-10,DET,CHA,0.4197271401,0.0208161098,0.3731408749,0.3879968514,0.4179039862,0.4567163656,0.4593419975
0022501172,2026-04-10,MIA,WAS,0.1340291970,0.0375648166,0.0891781570,0.0922275988,0.1249372850,0.2109712415,0.2220605213
0022501173,2026-04-10,CLE,ATL,0.5175915542,0.0280359179,0.4612191825,0.4680058318,0.5203631704,0.5523505898,0.5528227822
0022501174,2026-04-10,NOP,BOS,0.8890830894,0.0290221569,0.8277419094,0.8289077475,0.8980404179,0.9204967956,0.9236764318
0022501175,2026-04-10,PHI,IND,0.2280162793,0.0365890059,0.1790476159,0.1846140238,0.2187638353,0.2986849627,0.3119732546
0022501176,2026-04-10,TOR,NYK,0.6643388370,0.0237730143,0.6082594233,0.6279123580,0.6665364725,0.6974417082,0.7026104616
0022501177,2026-04-10,ORL,CHI,0.3528857291,0.0274595560,0.3144856080,0.3194931334,0.3479018757,0.4026638256,0.4179940940
0022501178,2026-04-10,MIN,HOU,0.5735892694,0.0095566214,0.5573142443,0.5607774784,0.5719436077,0.5914452254,0.5946052005
0022501179,2026-04-10,BKN,MIL,0.7154641226,0.0244353445,0.6612390095,0.6714367165,0.7179875191,0.7531931109,0.7572096222
0022501180,2026-04-10,DAL,SAS,0.9545748346,0.0190451134,0.9085040530,0.9132009602,0.9614307999,0.9742129569,0.9762177463
0022501181,2026-04-10,MEM,UTA,0.4701993155,0.0200068205,0.4209927559,0.4356634435,0.4719447923,0.4994499649,0.5075825619
0022501182,2026-04-10,OKC,DEN,0.3342798712,0.0320726590,0.2784037469,0.2872076498,0.3304808914,0.3897199520,0.4066200245
0022501183,2026-04-10,LAC,POR,0.5264108316,0.0175425666,0.5000547998,0.5041120466,0.5227109537,0.5573578719,0.5576817449
0022501184,2026-04-10,GSW,SAC,0.2199787001,0.0397589667,0.1592748833,0.1687546090,0.2119322184,0.2961436677,0.3087198903
0022501185,2026-04-10,PHX,LAL,0.6393837259,0.0159397553,0.5999263720,0.6146349510,0.6420352566,0.6608825241,0.6627067944
0022501186,2026-04-12,ORL,BOS,0.7872700529,0.0291836998,0.7187524152,0.7349242144,0.7924127298,0.8238665437,0.8305598452
0022501187,2026-04-12,WAS,CLE,0.9390657523,0.0233716679,0.8837149659,0.8911724274,0.9459014663,0.9631231746,0.9645115380
0022501188,2026-04-12,DET,IND,0.0731699543,0.0295233694,0.0417421617,0.0426979980,0.0634321694,0.1352771704,0.1441817405
0022501189,2026-04-12,ATL,MIA,0.4813759010,0.0387027761,0.4250926585,0.4268210965,0.4744479256,0.5396941457,0.5449671501
0022501190,2026-04-12,CHA,NYK,0.5740917846,0.0246037365,0.5421409837,0.5429317666,0.5717577970,0.6208166650,0.6311805909
0022501191,2026-04-12,MIL,PHI,0.7753496824,0.0294969268,0.7020110738,0.7260599952,0.7798606918,0.8131261539,0.8184361528
0022501192,2026-04-12,BKN,TOR,0.9132825040,0.0257880878,0.8569405167,0.8595888995,0.9202888386,0.9415755300,0.9427202612
0022501193,2026-04-12,CHI,DAL,0.4597724658,0.0104169737,0.4469511998,0.4480746758,0.4561121559,0.4816050001,0.4848518891
0022501194,2026-04-12,MEM,HOU,0.8726225430,0.0323372085,0.7886690548,0.8144365097,0.8769899291,0.9142539159,0.9223448585
0022501195,2026-04-12,NOP,MIN,0.8368106125,0.0304322189,0.7710356936,0.7744504695,0.8448035501,0.8738507453,0.8820078882
0022501196,2026-04-12,PHX,OKC,0.8290772378,0.0313789196,0.7564124857,0.7713754468,0.8364432225,0.8665801957,0.8741827313
0022501197,2026-04-12,DEN,SAS,0.7434483413,0.0216254621,0.6939653897,0.6993993393,0.7494724281,0.7667837430,0.7701073787
0022501198,2026-04-12,UTA,LAL,0.9072076835,0.0293675248,0.8241024382,0.8559586957,0.9147884346,0.9428688988,0.9460151582
0022501199,2026-04-12,GSW,LAC,0.6683706935,0.0371667050,0.5918267479,0.6046437167,0.6714425505,0.7161983305,0.7186798539
0022501200,2026-04-12,SAC,POR,0.8865840962,0.0310659222,0.8052002239,0.8302555049,0.8922122904,0.9266651968,0.9323263041
